Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-11-05,317.99,319.57,316.75,317.13,"12,901,900",0,1,43.016806811281,43.230544836885,42.849063044351,42.900468392281,"90,313,300"
2010-11-04,315.45,320.18,315.03,318.27,"22,946,000",0,1,42.673202643538,43.313063948036,42.616386206352,43.054684436071,"160,622,000"
2010-11-03,311.37,312.88,308.53,312.8,"18,155,300",0,1,42.121271539446,42.325540158852,41.737084202284,42.314717980341,"127,087,100"
2010-11-02,307,310.19,307,309.36,"15,497,500",0,1,41.53011003825,41.9616444064,41.53011003825,41.849364304342,"108,482,500"
2010-11-01,302.22,305.6,302.2,304.18,"15,138,900",0,1,40.883484872182,41.340721914297,40.880779327554,41.148628245716,"105,972,300"
2010-10-29,304.23,305.88,300.87,300.98,"15,375,400",0,1,41.155392107286,41.378599539088,40.700860609799,40.715741105253,"107,627,800"
2010-10-28,307.95,308,300.9,305.24,"19,680,400",0,1,41.658623408075,41.665387269645,40.704918926741,41.292022110995,"137,762,800"
2010-10-27,307.65,309.9,305.6,307.83,"14,250,100",0,1,41.618040238657,41.922414009296,41.340721914297,41.642390140308,"99,750,700"
2010-10-26,306.87,309.74,305.65,308.05,"14,033,200",0,1,41.512523998169,41.900769652272,41.347485775867,41.672151131215,"98,232,400"
2010-10-25,309.09,311.6,308.44,308.84,"14,016,500",0,1,41.812839451866,42.152385302667,41.724909251459,41.779020144017,"98,115,500"
2010-10-22,309.07,310.04,306.3,307.47,"13,313,500",0,1,41.810133907238,41.941352821691,41.435415976274,41.593690337006,"93,194,500"
2010-10-21,312.36,314.74,306.8,309.52,"19,695,000",0,1,42.255195998527,42.577155809247,41.503054591971,41.871008661365,"137,865,000"
2010-10-20,309,314.25,306.87,310.53,"25,772,300",0,1,41.80066450104,42.510869965864,41.512523998169,42.007638665074,"180,406,100"
2010-10-19,303.4,313.77,300.02,309.49,"44,028,000",0,1,41.043112005228,42.445936894794,40.585874963113,41.866950344424,"308,196,000"
2010-10-18,318.47,319,314.29,318,"39,036,100",0,1,43.08173988235,43.15343681499,42.516281055119,43.018159583595,"273,252,700"
2010-10-15,307.44,315,304.91,314.74,"32,935,500",0,1,41.589632020064,42.61232788941,41.247380624635,42.577155809247,"230,548,500"
2010-10-14,301.69,302.47,300.4,302.31,"15,546,300",0,1,40.811787939543,40.917304180031,40.637280311043,40.895659823008,"108,824,100"
2010-10-13,300.2,301.96,299.8,300.14,"22,503,300",0,1,40.610224864764,40.84831279202,40.556113972207,40.602108230881,"157,523,100"
2010-10-12,295.41,299.5,292.49,298.54,"19,948,000",0,1,39.962246926383,40.515530802788,39.567237410709,40.385664660649,"139,636,000"
2010-10-11,294.74,297.24,294.6,295.36,"15,276,900",0,1,39.871611181348,40.209804259835,39.852672368953,39.955483064813,"106,938,300"
2010-10-08,291.71,294.5,290,294.07,"23,514,400",0,1,39.461721170221,39.839144645813,39.230397104536,39.780975436313,"164,600,800"
2010-10-07,290.34,290.48,286.91,289.22,"14,585,700",0,1,39.27639136321,39.295330175606,38.812390459526,39.124880864048,"102,099,900"
2010-10-06,289.59,291.99,285.26,289.19,"23,959,600",0,1,39.174933439664,39.499598795012,38.589183027724,39.120822547106,"167,717,200"
2010-10-05,282,289.45,281.82,288.94,"17,927,400",0,1,38.148179253376,39.155994627269,38.123829351725,39.087003239257,"125,491,800"
2010-10-04,281.6,282.9,277.77,278.64,"15,546,500",0,1,38.094068360818,38.269928761632,37.575956564576,37.693647755889,"108,825,500"
2010-10-01,286.15,286.58,281.35,282.52,"16,005,100",0,1,38.709579763665,38.767748973165,38.06024905297,38.218523413702,"112,035,700"
2010-09-30,289,290,281.25,283.75,"24,049,700",0,1,39.095119873141,39.230397104536,38.04672132983,38.384914408318,"168,347,900"
2010-09-29,287.23,289.81,286,287.37,"16,773,000",0,1,38.855679173572,39.204694430571,38.689288178956,38.874617985967,"117,411,000"
2010-09-28,291.77,291.77,275,286.86,"36,965,800",0,1,39.469837804105,39.469837804105,37.201238633612,38.805626597956,"258,760,600"
2010-09-27,293.98,294.73,291.01,291.16,"17,244,100",0,1,39.768800485488,39.870258409034,39.367027108245,39.387318692954,"120,708,700"
2010-09-24,292.1,293.53,290.55,292.32,"23,196,000",0,1,39.514479290465,39.70792573136,39.304799581803,39.544240281372,"162,372,000"
2010-09-23,286.33,292.76,286,288.92,"28,075,600",0,1,38.733929665317,39.603762263186,38.689288178956,39.084297694629,"196,529,200"
2010-09-22,282.71,287.98,282.41,287.75,"20,903,200",0,1,38.244226087667,38.957137097118,38.203642918248,38.926023333897,"146,322,400"
2010-09-21,283.86,287.35,282.79,283.77,"23,859,800",0,1,38.399794903771,38.871912441339,38.255048266178,38.387619952945,"167,018,600"
2010-09-20,276.08,283.78,275.85,283.23,"23,524,200",0,1,37.347338043518,38.388972725259,37.316224280297,38.314570247992,"164,669,400"
2010-09-17,277.69,277.96,273.68,275.37,"22,659,900",0,1,37.565134386064,37.601659238541,37.02267268817,37.251291209228,"158,619,300"
2010-09-16,270.24,276.67,269.5,276.57,"23,289,400",0,1,36.557319012172,37.427151610041,36.457213860939,37.413623886902,"163,025,800"
2010-09-15,268.17,270.38,267.84,270.22,"15,334,600",0,1,36.277295143184,36.576257824567,36.232653656824,36.554613467544,"107,342,200"
2010-09-14,266.21,269.17,265.52,268.06,"14,576,800",0,1,36.01215176965,36.412572374579,35.918810479988,36.262414647731,"102,037,600"
2010-09-13,265.82,268.28,265.76,267.04,"13,885,000",0,1,35.959393649406,36.292175638638,35.951277015522,36.124431871708,"97,195,000"
2010-09-10,263.19,264.5,261.4,263.41,"13,840,800",0,1,35.603614530837,35.780827703965,35.36146828664,35.633375521744,"96,885,600"
2010-09-09,265.04,266.52,262.92,263.07,"15,663,400",0,1,35.853877408918,36.054087711383,35.567089678361,35.58738126307,"109,643,800"
2010-09-08,259.78,264.39,259.1,262.92,"18,805,400",0,1,35.142319171781,35.765947208511,35.050330654432,35.567089678361,"131,637,800"
2010-09-07,256.64,259.53,256.25,257.81,"12,234,200",0,1,34.7175486652,35.108499863932,34.664790544956,34.875823025932,"85,639,400"
2010-09-03,255.09,258.78,254.5,258.77,"18,599,600",0,1,34.507868956538,35.007041940386,34.428055390015,35.005689168072,"130,197,200"
2010-09-02,251.26,252.17,248.57,252.17,"14,836,700",0,1,33.989757160296,34.112859440865,33.625861407843,34.112859440865,"103,856,900"
2010-09-01,247.47,251.46,246.28,250.33,"24,894,200",0,1,33.477056453309,34.016812606575,33.316076547949,33.863949335098,"174,259,400"
2010-08-31,241.85,244.56,240.35,243.1,"15,028,100",0,1,32.716798412869,33.083399709949,32.513882565777,32.885894952113,"105,196,700"
2010-08-30,240.76,245.75,240.68,242.5,"13,688,900",0,1,32.569346230649,33.244379615309,32.558524052137,32.804728613276,"95,822,300"
2010-08-27,241.75,242.61,235.56,241.62,"19,585,400",0,1,32.70327068973,32.819609108729,31.865904627395,32.685684649648,"137,097,800"
2010-08-26,245.45,245.75,240.28,240.28,"16,660,900",0,1,33.203796445891,33.244379615309,32.504413159579,32.504413159579,"116,626,300"
2010-08-25,238.04,243.99,237.2,242.89,"21,316,700",0,1,32.201392161254,33.006291688054,32.087759286883,32.85748673352,"149,216,900"
2010-08-24,242.67,243,238.65,239.93,"21,520,200",0,1,32.827725742613,32.872367228973,32.283911272405,32.457066128591,"150,641,400"
2010-08-23,251.79,252,245.25,245.8,"14,787,200",0,1,34.061454092935,34.089862311528,33.176740999612,33.251143476879,"103,510,400"
2010-08-20,249.39,253.92,249,249.64,"13,722,500",0,1,33.736788737587,34.349594595806,33.684030617343,33.770608045436,"96,057,500"
2010-08-19,252.84,253.48,248.68,249.88,"15,239,500",0,1,34.2034951859,34.290072613992,33.640741903297,33.803074580971,"106,676,500"
2010-08-18,252.36,254.67,251.58,253.07,"12,132,000",0,1,34.13856211483,34.451052519352,34.033045874342,34.23460894912,"84,924,000"
2010-08-17,250.08,254.63,249.2,251.97,"15,094,300",0,1,33.83013002725,34.445641430097,33.711086063622,34.085803994586,"105,660,100"
2010-08-16,247.58,250.01,246.62,247.64,"11,372,500",0,1,33.491936948762,33.820660621052,33.362070806623,33.500053582646,"79,607,500"
2010-08-13,251.65,251.88,249.09,249.1,"12,673,900",0,1,34.04251528054,34.07362904376,33.696205568169,33.697558340482,"88,717,300"
2010-08-12,246.69,253.1,246.12,251.79,"19,104,300",0,1,33.371540212821,34.238667266062,33.294432190925,34.061454092935,"133,730,100"
2010-08-11,255.4,255.69,249.81,250.19,"22,144,800",0,1,34.549804898271,34.589035295375,33.793605174773,33.845010522703,"155,013,600"
2010-08-10,259.85,260.45,257.55,259.41,"16,140,000",0,1,35.151788577978,35.232954916815,34.84065094577,35.092266596164,"112,980,000"
2010-08-09,261.48,262.15,259.57,261.75,"10,826,000",0,1,35.372290465152,35.462926210187,35.113910953188,35.408815317629,"75,782,000"
2010-08-06,259.78,261.49,257.63,260.09,"15,889,200",0,1,35.142319171781,35.373643237466,34.851473124281,35.184255113513,"111,224,400"
